# k1 k2 k3 mean_bk mean_bk_smooth
0.035 0.245 0.265 2.912600002494045475e+04 2.864998445062412793e+04
0.035 0.245 0.275 3.211747323926001263e+04 3.344679265574105375e+04
0.035 0.255 0.255 2.486821547024908796e+04 2.407639705071189746e+04
0.035 0.255 0.265 2.521075664438295280e+04 2.445615560866152737e+04
0.035 0.255 0.275 2.759029020011814282e+04 2.699189357414998085e+04
0.035 0.255 0.285 3.046438671857165173e+04 3.157468808684778924e+04
0.035 0.265 0.265 2.320003660270907130e+04 2.264717423419271654e+04
0.035 0.265 0.275 2.352436794943447603e+04 2.303073651314537346e+04
0.035 0.265 0.285 2.588021734496796125e+04 2.546571810223988723e+04
0.035 0.265 0.295 2.875362791989186007e+04 2.985026014519819364e+04
0.035 0.275 0.275 2.205946742056603398e+04 2.133015160664221912e+04
0.035 0.275 0.285 2.226461465636203502e+04 2.171520528842485510e+04
0.035 0.275 0.295 2.436270472426385459e+04 2.405557193650784757e+04
0.035 0.285 0.285 2.096291260787953070e+04 2.011239054226633743e+04
0.035 0.285 0.295 2.101003149900118297e+04 2.049710966317255225e+04
0.035 0.295 0.295 1.933219348852027906e+04 1.898316265142355041e+04
0.045 0.045 0.045 1.439753990480761277e+05 2.098008378027452272e+05
0.045 0.045 0.055 1.470256659738902235e+05 1.904358009035400173e+05
0.045 0.045 0.065 1.607615025344685710e+05 1.831523060254738375e+05
0.045 0.045 0.075 1.678291317551305401e+05 1.885671656247626524e+05
0.045 0.045 0.085 1.910866662449470896e+05 2.076953911883015244e+05
0.045 0.055 0.055 1.419499271512231498e+05 1.679147639490734437e+05
0.045 0.055 0.065 1.323864872317281261e+05 1.552530968245639524e+05
0.045 0.055 0.075 1.370809612992227194e+05 1.519813565101746062e+05
0.045 0.055 0.085 1.488312737631232594e+05 1.581244222541096096e+05
0.045 0.055 0.095 1.620437740543791151e+05 1.741580582908424840e+05
0.045 0.065 0.065 1.254829848690010986e+05 1.378941750450122636e+05
0.045 0.065 0.075 1.211465465669716505e+05 1.290517746213327337e+05
0.045 0.065 0.085 1.209838308083687734e+05 1.278335870305804710e+05
0.045 0.065 0.095 1.344497710340996564e+05 1.339956733985114261e+05
0.045 0.065 0.105 1.475863168245472189e+05 1.477227583256830694e+05
0.045 0.075 0.075 1.127604459672136436e+05 1.154035852040311438e+05
0.045 0.075 0.085 1.069459352904777479e+05 1.090128908071588667e+05
0.045 0.075 0.095 1.102617585696707683e+05 1.089481477635706251e+05
0.045 0.075 0.105 1.220748575445870811e+05 1.148745438855039392e+05
0.045 0.075 0.115 1.331147393617048219e+05 1.268267315207147039e+05
0.045 0.085 0.085 9.355946032614493743e+04 9.811031219421897549e+04
0.045 0.085 0.095 8.853485370082806912e+04 9.338714913507376332e+04
0.045 0.085 0.105 9.122574850234402402e+04 9.399900014156589168e+04
0.045 0.085 0.115 1.030316267024854023e+05 9.959874789335895912e+04
0.045 0.085 0.125 1.088958457955514605e+05 1.101451406391734781e+05
0.045 0.095 0.095 7.732414158999982465e+04 8.454601355078369670e+04
0.045 0.095 0.105 7.448636604670602537e+04 8.099684819809545297e+04
0.045 0.095 0.115 7.644557766886589525e+04 8.201091258780930366e+04
0.045 0.095 0.125 8.457263907807908254e+04 8.726043772308429470e+04
0.045 0.095 0.135 9.079830027701650397e+04 9.666728825004915416e+04
0.045 0.105 0.105 6.709093468995662988e+04 7.372418388574323035e+04
0.045 0.105 0.115 6.451069920720520167e+04 7.102201818108034786e+04
0.045 0.105 0.125 6.729134550445553032e+04 7.227234463156282436e+04
0.045 0.105 0.135 7.185684633973115706e+04 7.717767157190204307e+04
0.045 0.105 0.145 7.879865417231769243e+04 8.564376819541692385e+04
0.045 0.115 0.115 5.817552337625922519e+04 6.495879416441619105e+04
0.045 0.115 0.125 5.860703450857720600e+04 6.287959862587491807e+04
0.045 0.115 0.135 6.118975727176417422e+04 6.426266536701502628e+04
0.045 0.115 0.145 6.643773832192647387e+04 6.884279934461285302e+04
0.045 0.115 0.155 7.243706158953750855e+04 7.652083520969827077e+04
0.045 0.125 0.125 5.441113741585950629e+04 5.776130308207744383e+04
0.045 0.125 0.135 5.499575353908543184e+04 5.614772569130699412e+04
0.045 0.125 0.145 5.717236817242886900e+04 5.759774139287619619e+04
0.045 0.125 0.155 6.196300837662241247e+04 6.187681175709362287e+04
0.045 0.125 0.165 6.898967169669624127e+04 6.888679223700189323e+04
0.045 0.135 0.135 5.289451759047571250e+04 5.177704216620386433e+04
0.045 0.135 0.145 5.074897617187101423e+04 5.051631596998384339e+04
