# k1 k2 k3 mean_bk mean_bk_smooth
0.025 0.025 0.035 2.212060082167215114e+03 1.847582429604848357e+03
0.025 0.025 0.045 2.053856163008862950e+03 1.765373251247543294e+03
0.025 0.035 0.035 1.638972793759377282e+03 1.671058653426229966e+03
0.025 0.035 0.045 1.748981709740388396e+03 1.544910032699162457e+03
0.025 0.035 0.055 1.615550964773495707e+03 1.490788741558700849e+03
0.025 0.045 0.045 1.463146097526581116e+03 1.389241384294090039e+03
0.025 0.045 0.055 1.425545265586939649e+03 1.294989381055667764e+03
0.025 0.045 0.065 1.389106463564884962e+03 1.262173088218791008e+03
0.025 0.055 0.055 1.247286407842141671e+03 1.169876680199799011e+03
0.025 0.055 0.065 1.230787554114811428e+03 1.100753378812106121e+03
0.025 0.055 0.075 1.243969629707153445e+03 1.082733594667286752e+03
0.025 0.065 0.065 1.148239981667274606e+03 1.001753969872502466e+03
0.025 0.065 0.075 1.124297205112915663e+03 9.509512835019856993e+02
0.025 0.065 0.085 1.126888261148494848e+03 9.429123631321236871e+02
0.025 0.075 0.075 9.611304641840079057e+02 8.720860263034483069e+02
0.025 0.075 0.085 1.007904585341151346e+03 8.344152400735614492e+02
0.025 0.075 0.095 1.031467947390100790e+03 8.330623891015543450e+02
0.025 0.085 0.085 9.509405989875237992e+02 7.707060198887056686e+02
0.025 0.085 0.095 8.914159227920285957e+02 7.424778449668916664e+02
0.025 0.085 0.105 9.388784094769581543e+02 7.456057546583406292e+02
0.025 0.095 0.095 7.715780990447457270e+02 6.901797137487989175e+02
0.025 0.095 0.105 7.501867526248225886e+02 6.688120597279886397e+02
0.025 0.095 0.115 7.688884108948055882e+02 6.749470099472214315e+02
0.025 0.105 0.105 6.950313580834983895e+02 6.251809509716596267e+02
0.025 0.105 0.115 6.925181051112105024e+02 6.088611545760376202e+02
0.025 0.105 0.125 7.079208290482637267e+02 6.170123982909771030e+02
0.025 0.115 0.115 6.485085900429880894e+02 5.718899562328841739e+02
0.025 0.115 0.125 6.394458077586632498e+02 5.593324113287631008e+02
0.025 0.115 0.135 6.543875099968948916e+02 5.688283192888147823e+02
0.025 0.125 0.125 6.039768021389380692e+02 5.275418594197337825e+02
0.025 0.125 0.135 6.210495897384453201e+02 5.178230145839211218e+02
0.025 0.125 0.145 6.232415723269717773e+02 5.282045097802704277e+02
0.025 0.135 0.135 5.990310371325840606e+02 4.901106132146767322e+02
0.025 0.135 0.145 5.819257652203403950e+02 4.825580916215559455e+02
0.025 0.135 0.155 5.931548799200500071e+02 4.935091895770669339e+02
0.025 0.145 0.145 5.232372609031699540e+02 4.580919915329394030e+02
0.025 0.145 0.155 5.355434233538303488e+02 4.522098908221875035e+02
0.025 0.145 0.165 5.527340647834420224e+02 4.635120239847572066e+02
0.025 0.155 0.155 4.890864093804473214e+02 4.303547173598104791e+02
0.025 0.155 0.165 4.919892994014863348e+02 4.257728166236154266e+02
0.025 0.155 0.175 4.916282252778590305e+02 4.372744488797424083e+02
0.025 0.165 0.165 4.626169164653517782e+02 4.060375736736984322e+02
0.025 0.165 0.175 4.566970760522059436e+02 4.024763752287547049e+02
0.025 0.165 0.185 4.733339884977954171e+02 4.140725337368079408e+02
0.025 0.175 0.175 4.213531509501704022e+02 3.844775119543351138e+02
0.025 0.175 0.185 4.335492157694243360e+02 3.817238622383829352e+02
0.025 0.175 0.195 4.362761215562518942e+02 3.933421759502278974e+02
0.025 0.185 0.185 4.096232225578603448e+02 3.651587938204557418e+02
0.025 0.185 0.195 4.156069478786194509e+02 3.630486536991576827e+02
0.025 0.185 0.205 4.145258299121181835e+02 3.746397141840220684e+02
0.025 0.195 0.195 4.025202648409808717e+02 3.476765501444049278e+02
0.025 0.195 0.205 4.019046019672706507e+02 3.460826581587414807e+02
0.025 0.195 0.215 4.105007006938641894e+02 3.576132877857773451e+02
0.025 0.205 0.205 3.756254362604833545e+02 3.317103394420608424e+02
0.025 0.205 0.215 3.880855271936654844e+02 3.305332671411397314e+02
0.025 0.205 0.225 3.829713008864514450e+02 3.419817667680394493e+02
0.025 0.215 0.215 3.635422233530430844e+02 3.170047268723068328e+02
0.025 0.215 0.225 3.600977510935018131e+02 3.161663158065803714e+02
0.025 0.215 0.235 3.726508049411629599e+02 3.275190759115524770e+02
0.025 0.225 0.225 3.439391873997280982e+02 3.033548532551461108e+02
0.025 0.225 0.235 3.352641543505719710e+02 3.027933448458535963e+02
0.025 0.225 0.245 3.487710038067122014e+02 3.140424060377835644e+02
0.025 0.235 0.235 3.315989907750611678e+02 2.905955934559849538e+02
0.025 0.235 0.245 3.289490839034679652e+02 2.902619763652363076e+02
0.025 0.235 0.255 3.345353182717247478e+02 3.014032576913806452e+02
0.025 0.245 0.245 3.175664816652956688e+02 2.785933264745271458e+02
0.025 0.245 0.255 3.154328192042675596e+02 2.784485694145393495e+02
0.025 0.245 0.265 3.163609778217342523e+02 2.894805708380666260e+02
0.025 0.255 0.255 3.051198946204405615e+02 2.672396268291134902e+02
0.025 0.255 0.265 3.029857458393923935e+02 2.672525621585895692e+02
0.025 0.255 0.275 3.083696203906904429e+02 2.781754066578557740e+02
0.025 0.265 0.265 2.970322734304555183e+02 2.564463841524621444e+02
0.025 0.265 0.275 2.936022728853238277e+02 2.565920746028343729e+02
0.025 0.265 0.285 2.954332398535798347e+02 2.674067954780398395e+02
0.025 0.275 0.275 2.767174700565861940e+02 2.461419950153033653e+02
0.025 0.275 0.285 2.802658276052282531e+02 2.464004624953504674e+02
0.025 0.275 0.295 2.822418771800966510e+02 2.571084690249121536e+02
0.025 0.285 0.285 2.656811074982314835e+02 2.362683673128626367e+02
0.025 0.285 0.295 2.705003471077949371e+02 2.366235955195860470e+02
0.025 0.295 0.295 2.543875473023678069e+02 2.267785459445317997e+02
0.035 0.035 0.035 1.473605096746012805e+03 1.513742335473265484e+03
0.035 0.035 0.045 1.279607378165435421e+03 1.383816315229766815e+03
0.035 0.035 0.055 1.469586968465038126e+03 1.299075619903267352e+03
0.035 0.035 0.065 1.444236874279504946e+03 1.265014981046462253e+03
0.035 0.045 0.045 1.270820796803954181e+03 1.250459043275269778e+03
0.035 0.045 0.055 1.202154606202797822e+03 1.154298178798579556e+03
0.035 0.045 0.065 1.147499154022610810e+03 1.095992752209659784e+03
0.035 0.045 0.075 1.150667600350387602e+03 1.075560940999061359e+03
0.035 0.055 0.055 1.040361435004951772e+03 1.048982939148420428e+03
0.035 0.055 0.065 1.050386135257206661e+03 9.777700966779867713e+02
0.035 0.055 0.075 1.033419297879662963e+03 9.372882711652134731e+02
0.035 0.055 0.085 1.079064902491811608e+03 9.261068114020130224e+02
0.035 0.065 0.065 9.836681625601681844e+02 8.956981436957078131e+02
0.035 0.065 0.075 9.468885130910659882e+02 8.424135129873469623e+02
0.035 0.065 0.085 9.420167087928482488e+02 8.141172856243819069e+02
0.035 0.065 0.095 9.142940238444211900e+02 8.091778119220635972e+02
0.035 0.075 0.075 8.357733622998613328e+02 7.780144363959826705e+02
0.035 0.075 0.085 7.950505172890949552e+02 7.375590419735543719e+02
0.035 0.075 0.095 8.254100828223371309e+02 7.177093139732496638e+02
0.035 0.075 0.105 8.158713655245014706e+02 7.169870441765268652e+02
0.035 0.085 0.085 7.512273746622063300e+02 6.863194283317388908e+02
0.035 0.085 0.095 7.068906091458890160e+02 6.551188524381864227e+02
0.035 0.085 0.105 7.058525933066084690e+02 6.412133532397107274e+02
0.035 0.085 0.115 7.194082684714169318e+02 6.433517685833380710e+02
0.035 0.095 0.095 6.544386027775697130e+02 6.136886260134422173e+02
0.035 0.095 0.105 6.232943674212220913e+02 5.892511213835064154e+02
0.035 0.095 0.115 6.370690420459452525e+02 5.795928723181042415e+02
0.035 0.095 0.125 6.321040836195685415e+02 5.836786871697979677e+02
0.035 0.105 0.105 5.714846855925101181e+02 5.552004794448080247e+02
0.035 0.105 0.115 5.576316503871745454e+02 5.357763327974705589e+02
0.035 0.105 0.125 5.629301804607081294e+02 5.291964388330588918e+02
0.035 0.105 0.135 5.617343731408526537e+02 5.346093183854947029e+02
0.035 0.115 0.115 5.316939735156261122e+02 5.073441872219725610e+02
0.035 0.115 0.125 5.231839046388786301e+02 4.916892778502793249e+02
0.035 0.115 0.135 5.201901595533978480e+02 4.873696101960591704e+02
0.035 0.115 0.145 5.428756154277328960e+02 4.936840678996799170e+02
0.035 0.125 0.125 5.037814986970422524e+02 4.675888509309588130e+02
0.035 0.125 0.135 4.922611042858293331e+02 4.548058358523788911e+02
0.035 0.125 0.145 5.034637789436952175e+02 4.521648784340835050e+02
0.035 0.125 0.155 4.912981090025303956e+02 4.590863975528658898e+02
0.035 0.135 0.135 4.797196526349878241e+02 4.340860372126467155e+02
0.035 0.135 0.145 4.681239165110382032e+02 4.235182814022037974e+02
0.035 0.135 0.155 4.670964398601911398e+02 4.221367329038594676e+02
0.035 0.135 0.165 4.765440442546941426e+02 4.294598883216536365e+02
0.035 0.145 0.145 4.385532066437387471e+02 4.054672590740997293e+02
0.035 0.145 0.155 4.281869317121446556e+02 3.966275692002187725e+02
0.035 0.145 0.165 4.390374310220481675e+02 3.961991247582166125e+02
0.035 0.145 0.175 4.415837374133997741e+02 4.037798233072548442e+02
0.035 0.155 0.155 4.008378541231749068e+02 3.807058378925107718e+02
0.035 0.155 0.165 3.955047930989833276e+02 3.732280430893572998e+02
0.035 0.155 0.175 4.020257251921609054e+02 3.735263131945030750e+02
0.035 0.155 0.185 4.011299998035922840e+02 3.812631566659092641e+02
0.035 0.165 0.165 3.807409086632690105e+02 3.590218570969629468e+02
0.035 0.165 0.175 3.674726308737899103e+02 3.526274709284986670e+02
0.035 0.165 0.185 3.648732020030728904e+02 3.534833918716576591e+02
0.035 0.165 0.195 3.742467607953757920e+02 3.613049986376689162e+02
0.035 0.175 0.175 3.584462649233107641e+02 3.398159935976711381e+02
0.035 0.175 0.185 3.538757538400598150e+02 3.342909355675367351e+02
0.035 0.175 0.195 3.611074554529349712e+02 3.355771059298139107e+02
0.035 0.175 0.205 3.526186206586627918e+02 3.434333733805460156e+02
0.035 0.185 0.185 3.484091016505307152e+02 3.226228544909747029e+02
0.035 0.185 0.195 3.360008548863802389e+02 3.178009668728132056e+02
0.035 0.185 0.205 3.390591556517140930e+02 3.194206269243668999e+02
0.035 0.185 0.215 3.427096690818441971e+02 3.272766342482116784e+02
0.035 0.195 0.195 3.244541020145944117e+02 3.070776335810236901e+02
0.035 0.195 0.205 3.266099192043422477e+02 3.028288506823071202e+02
0.035 0.195 0.215 3.272536372667898377e+02 3.047080209812990006e+02
0.035 0.195 0.225 3.301880460323872626e+02 3.125397238336734631e+02
