# k1 k2 k3 mean_bk mean_bk_smooth
0.035 0.275 0.295 3.356638416282264050e+06 3.235484183230625000e+06
0.035 0.285 0.285 2.143087581119020469e+06 1.943041080248139799e+06
0.035 0.285 0.295 2.286151358651726041e+06 2.187155696789197158e+06
0.035 0.295 0.295 1.924097742864741478e+06 1.810242251335006906e+06
0.045 0.045 0.045 2.155626508068390656e+06 1.977560910283055902e+07
0.045 0.045 0.055 8.858615006587726995e+06 1.895802868360922113e+07
0.045 0.045 0.065 1.603021979939682037e+07 2.177096920961032063e+07
0.045 0.045 0.075 2.317663041855039075e+07 2.878078834606930241e+07
0.045 0.045 0.085 3.747557714455508441e+07 4.068216558382609487e+07
0.045 0.055 0.055 1.171781999727488309e+07 1.618602604831927270e+07
0.045 0.055 0.065 9.905840520531136543e+06 1.621720653824807890e+07
0.045 0.055 0.075 1.525636956613436528e+07 1.913120618160891905e+07
0.045 0.055 0.085 2.296608005136789754e+07 2.517895799907841533e+07
0.045 0.055 0.095 3.223826734307323396e+07 3.474735224980045110e+07
0.045 0.065 0.065 9.673636140810592100e+06 1.385897702510798723e+07
0.045 0.065 0.075 1.077111878179325908e+07 1.409245854952796549e+07
0.045 0.065 0.085 1.419178952440702915e+07 1.676051824288935214e+07
0.045 0.065 0.095 2.252162205197500065e+07 2.192959959681976214e+07
0.045 0.065 0.105 2.993340679553491622e+07 2.980356217557961866e+07
0.045 0.075 0.075 1.131363045832711272e+07 1.203915948553825356e+07
0.045 0.075 0.085 1.132867715502637438e+07 1.231732629083351791e+07
0.045 0.075 0.095 1.486803721630650945e+07 1.468986762973144837e+07
0.045 0.075 0.105 2.180091745887060091e+07 1.913122935115334019e+07
0.045 0.075 0.115 2.767095402959966660e+07 2.574053532044548541e+07
0.045 0.085 0.085 9.181711005590820685e+06 1.053095078768174350e+07
0.045 0.085 0.095 9.648729261924700812e+06 1.081162788620977849e+07
0.045 0.085 0.105 1.271396129149200395e+07 1.291073114320256002e+07
0.045 0.085 0.115 1.807231547120482847e+07 1.676028934290594794e+07
0.045 0.085 0.125 2.184852202469021454e+07 2.239955316145356745e+07
0.045 0.095 0.095 7.893746824292873964e+06 9.259288801401915029e+06
0.045 0.095 0.105 8.707536911489767954e+06 9.530828362656187266e+06
0.045 0.095 0.115 1.057043135327815637e+07 1.139259311450959742e+07
0.045 0.095 0.125 1.402374253805884905e+07 1.475951446091304533e+07
0.045 0.095 0.135 1.794030092480869219e+07 1.963656934717212990e+07
0.045 0.105 0.105 7.300213412509801798e+06 8.180214292335237376e+06
0.045 0.105 0.115 7.099371344408891164e+06 8.439580092124953866e+06
0.045 0.105 0.125 8.954887282703470439e+06 1.009883380118838511e+07
0.045 0.105 0.135 1.155938666808119044e+07 1.306855885440336540e+07
0.045 0.105 0.145 1.553439110590175912e+07 1.733427686981683597e+07
0.045 0.115 0.115 5.981075466780990362e+06 7.260834815710211173e+06
0.045 0.115 0.125 6.732348273067334667e+06 7.507497781681025401e+06
0.045 0.115 0.135 8.339128375727869570e+06 8.994254671932423487e+06
0.045 0.115 0.145 1.129480959791968018e+07 1.163363204941976815e+07
0.045 0.115 0.155 1.453987838644896820e+07 1.540041580603966862e+07
0.045 0.125 0.125 5.317270934660633095e+06 6.474404416927166283e+06
0.045 0.125 0.135 6.660767141271102242e+06 6.708575172886336222e+06
0.045 0.125 0.145 7.843797794551495463e+06 8.047836177331404760e+06
0.045 0.125 0.155 1.058106762052474543e+07 1.040960384305917285e+07
0.045 0.125 0.165 1.378699756998568960e+07 1.376312630770711601e+07
0.045 0.135 0.135 5.904457358743553050e+06 5.798787152456905693e+06
0.045 0.135 0.145 6.047378952990507707e+06 6.020899707906587981e+06
0.045 0.135 0.155 7.624311894487959333e+06 7.233313603259094059e+06
0.045 0.135 0.165 1.035474027806361020e+07 9.359538272504745051e+06
0.045 0.135 0.175 1.296508498863092624e+07 1.236640425543605722e+07
0.045 0.145 0.145 5.468115381142605096e+06 5.215666767903679982e+06
0.045 0.145 0.155 5.325659596224540845e+06 5.426228896362180822e+06
0.045 0.145 0.165 6.991590271344970912e+06 6.528871337335268036e+06
0.045 0.145 0.175 8.876618117043549195e+06 8.453493305991029367e+06
0.045 0.145 0.185 1.139370594665248320e+07 1.116637781612961926e+07
0.045 0.155 0.155 4.699404897468182258e+06 4.709933786047232337e+06
0.045 0.155 0.165 4.640515130534213968e+06 4.909482597596976906e+06
0.045 0.155 0.175 6.057673971026617102e+06 5.916546447427527048e+06
0.045 0.155 0.185 7.593861833091726527e+06 7.667249653551212512e+06
0.045 0.155 0.195 9.427546758727507666e+06 1.012843339359909482e+07
0.045 0.165 0.165 4.020455207338107284e+06 4.269148972841697745e+06
0.045 0.165 0.175 4.274251423002733849e+06 4.458234701376518235e+06
0.045 0.165 0.185 5.078724116449389607e+06 5.381592760524080135e+06
0.045 0.165 0.195 6.639885558334093541e+06 6.981185705049758777e+06
0.045 0.165 0.205 8.136938674332150258e+06 9.225045392242714763e+06
0.045 0.175 0.175 3.875190397142646369e+06 3.883074961472538766e+06
0.045 0.175 0.185 3.868759113530910574e+06 4.062251508075944148e+06
0.045 0.175 0.195 4.828766982508894987e+06 4.911902074529550970e+06
0.045 0.175 0.205 6.141415032445663586e+06 6.379347509773437865e+06
0.045 0.175 0.215 7.779256957560406066e+06 8.434147646643776447e+06
0.045 0.185 0.185 3.563376016235736664e+06 3.543277473415189888e+06
0.045 0.185 0.195 3.563589258263459429e+06 3.713094583754322026e+06
0.045 0.185 0.205 4.456662451405064203e+06 4.497511340680841357e+06
0.045 0.185 0.215 5.800267026277081110e+06 5.848702992183936760e+06
0.045 0.185 0.225 7.345148935704629868e+06 7.737909951280356385e+06
0.045 0.195 0.195 3.261745381350142881e+06 3.242793121998014860e+06
0.045 0.195 0.205 3.464930122972260229e+06 3.403789470272356644e+06
0.045 0.195 0.215 4.128724972154372837e+06 4.130196489640760235e+06
0.045 0.195 0.225 5.540964986126532778e+06 5.378552018137664534e+06
0.045 0.195 0.235 6.941844021465931088e+06 7.121814534560802393e+06
0.045 0.205 0.205 3.100054861770062242e+06 2.975856833978009410e+06
0.045 0.205 0.215 3.282958585154114291e+06 3.128554180195804220e+06
0.045 0.205 0.225 4.002594515425117221e+06 3.803143168569379486e+06
0.045 0.205 0.235 5.157604169971203431e+06 4.960062173990029842e+06
0.045 0.205 0.245 6.325492599129757844e+06 6.573954352866814472e+06
0.045 0.215 0.215 2.715943830932141747e+06 2.737680288157848176e+06
0.045 0.215 0.225 2.931410382187101990e+06 2.882578865719832014e+06
0.045 0.215 0.235 3.546145462094109040e+06 3.510681971168078016e+06
0.045 0.215 0.245 4.623287173954534344e+06 4.585903702684968710e+06
0.045 0.215 0.255 5.653762660526708700e+06 6.084495969280536287e+06
0.045 0.225 0.225 2.535451552141618915e+06 2.524272764258648269e+06
0.045 0.225 0.235 2.643218182370284107e+06 2.661847897381874733e+06
0.045 0.225 0.245 3.171142493110654410e+06 3.248076209217942320e+06
0.045 0.225 0.255 4.041255299002743792e+06 4.249961852773190476e+06
0.045 0.225 0.265 5.011081005207118578e+06 5.645265237919286825e+06
0.045 0.235 0.235 2.246295447888106108e+06 2.332296616298902780e+06
0.045 0.235 0.245 2.403130762015109882e+06 2.462996448402914219e+06
0.045 0.235 0.255 2.875094180395057891e+06 3.011351846679584589e+06
0.045 0.235 0.265 3.769742235842193943e+06 3.947109437805584632e+06
0.045 0.235 0.275 4.648535659596849233e+06 5.249425245519783348e+06
0.045 0.245 0.245 2.157976018286461476e+06 2.158950707566789351e+06
0.045 0.245 0.255 2.266515312068918254e+06 2.283194864422180690e+06
0.045 0.245 0.265 2.622037666583213024e+06 2.797161011910089757e+06
0.045 0.245 0.275 3.545677372142618988e+06 3.673026223219690844e+06
0.045 0.245 0.285 4.372564745048346929e+06 4.891224071767007932e+06
0.045 0.255 0.255 2.048816984923465177e+06 2.001876287780728657e+06
0.045 0.255 0.265 2.167872271832855418e+06 2.120055286376730539e+06
0.045 0.255 0.275 2.601098409401481971e+06 2.602672166955261957e+06
0.045 0.255 0.285 3.344521426588547416e+06 3.424054809342963155e+06
0.045 0.255 0.295 4.145315727166249882e+06 4.565795786082485691e+06
0.045 0.265 0.265 1.897351023155659670e+06 1.859080829069013940e+06
0.045 0.265 0.275 1.961368420601358404e+06 1.971556055584811838e+06
0.045 0.265 0.285 2.393650758813607972e+06 2.425481430089437403e+06
0.045 0.265 0.295 3.165352598378400318e+06 3.197085055606369860e+06
0.045 0.275 0.275 1.732301786494515836e+06 1.728876221546607325e+06
0.045 0.275 0.285 1.797213730472661788e+06 1.835980325724716531e+06
0.045 0.275 0.295 2.202898647361346055e+06 2.263540705610176548e+06
